Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
LAW,Racing Bulls,9.0,4.5,2.5,106.44,105.681,106.222,46.507227272,49.34496,28.337041666,117.944,104.86,12.0,59.0,77.0,7,11,17,1.0529999999999973,2.334000000000003,2.299999999999997,14,9,4,124.18922893800001,3.879372480000015,10,11.552999999999997,924.0,4543.0,204.0
LEC,Ferrari,12.333333333333334,6.166666666666667,15.0,105.791,104.473,104.544,44.003809523,49.638086956,29.968434782,116.768941176,103.363,2.0,167.0,358.0,3,4,5,0.40399999999999636,1.1260000000000048,0.6219999999999999,4,15,15,123.610331261,3.300474803,8,10.377941175999993,716.0,59786.0,10.0
LIN,Racing Bulls,6.666666666666667,5.333333333333334,2.5,106.601,106.391,106.271,45.057666666,54.541333333,27.691,106.391,105.106,15.0,31.0,77.0,8,17,18,1.2139999999999986,3.044000000000011,2.3490000000000038,7,21,2,127.289999999,6.980143541000004,1,0.0,1155.0,2387.0,270.0
NOR,McLaren,10.0,11.0,27.5,106.981,104.831,104.899,44.254947368,46.816318181,29.238590909,115.235058823,103.672,5.0,186.0,306.0,14,6,8,1.593999999999994,1.4840000000000089,0.9770000000000039,6,1,9,120.309856458,0.0,2,8.844058822999997,1530.0,56916.0,40.0
OCO,Haas F1 Team,11.666666666666666,5.833333333333333,0.0,106.624,105.29,105.918,47.857636363,50.68888,29.180458333,120.5865,105.016,14.0,3.0,21.0,9,9,13,1.2369999999999948,1.943000000000012,1.9960000000000093,19,19,8,127.726974696,7.4171182380000005,18,14.195499999999996,294.0,63.0,182.0
PER,Cadillac,11.0,5.5,0.0,107.253,105.76,106.004,45.5683,48.835652173,29.270565217,116.495882352,106.658,20.0,0.0,0.0,17,12,15,1.8659999999999997,2.413000000000011,2.082000000000008,11,6,10,123.67451738999999,3.3646609319999925,7,10.10488235199999,0.0,0.0,300.0
PIA,McLaren,6.333333333333333,8.166666666666666,27.5,106.398,104.857,104.746,42.669789473,49.437954545,33.336363636,116.1786875,103.364,3.0,120.0,306.0,6,8,7,1.0109999999999957,1.5100000000000051,0.8239999999999981,2,11,21,125.444107654,5.134251196000008,6,9.78768749999999,918.0,36720.0,21.0
RUS,Mercedes,6.666666666666667,12.333333333333334,38.0,105.387,103.347,104.021,45.22895,48.250826086,29.578521739,116.04817647,102.526,1.0,211.0,503.0,1,1,2,0.0,0.0,0.09900000000000375,9,4,13,123.05829782499998,2.748441366999984,4,9.657176469999996,503.0,106133.0,2.0
SAI,Williams,9.666666666666666,4.833333333333333,0.0,106.893,106.221,105.605,44.222789473,49.185714285,30.749523809,115.643866666,104.566,9.0,6.0,11.0,12,16,10,1.5060000000000002,2.8740000000000094,1.683000000000007,5,7,16,124.15802756699999,3.848171108999992,3,9.252866665999989,99.0,66.0,90.0
STR,Aston Martin,13.333333333333334,6.666666666666667,1.0,108.547,107.403,109.279,45.478761904,50.344869565,31.71973913,119.678941176,107.337,21.0,0.0,3.0,20,20,21,3.1599999999999966,4.056000000000012,5.356999999999999,10,17,19,127.54337059900001,7.233514141000015,15,13.28794117599999,63.0,0.0,441.0
VER,Red Bull Racing,8.333333333333334,11.666666666666668,10.5,105.787,104.174,103.922,45.7532,48.759913043,28.685434782,119.113777777,104.081,8.0,145.0,230.0,2,3,1,0.4000000000000057,0.8270000000000124,0.0,12,5,6,123.198547825,2.888691367000007,12,12.72277777699999,1840.0,33350.0,8.0
