Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
HUL,Audi,8.333333333333334,4.166666666666667,0.0,78.172,76.934,76.961,29.548333333,37.388677419,28.66016129,95.268703703,76.657,9.0,20.0,0.0,2.0,9,11,9,1.8089999999999975,1.5079999999999956,1.2819999999999965,6,9,5,95.597172042,5.811834399000006,9,9.081810845999996,18.0,0.0,81.0
LAW,Racing Bulls,6.333333333333333,7.166666666666666,10.0,77.472,76.967,77.324,27.4518,38.549142857,39.54625,97.5434,76.542,8.0,8.0,24.0,35.0,5,13,12,1.1089999999999947,1.5409999999999968,1.644999999999996,2,15,22,105.547192857,15.761855214000008,14,11.356507143000002,280.0,840.0,96.0
LEC,Ferrari,11.0,5.5,24.0,76.883,75.799,75.922,33.51492,36.843535714,29.00337931,98.94508,75.281,10.0,15.0,75.0,165.0,3,4,3,0.519999999999996,0.37300000000000466,0.242999999999995,19,7,7,99.361835024,9.57649738100001,16,12.758187143,1650.0,12375.0,30.0
LIN,Racing Bulls,9.666666666666666,7.833333333333333,10.0,77.804,76.411,77.02,26.105958333,36.15737931,27.522,88.234416666,75.84,11.0,9.0,11.0,35.0,6,7,10,1.4410000000000025,0.9849999999999994,1.340999999999994,1,3,2,89.78533764299999,0.0,2,2.0475238089999976,385.0,385.0,110.0
NOR,McLaren,12.333333333333334,6.166666666666667,5.0,78.172,75.426,75.925,32.22137037,38.0613,29.2799,97.578346153,75.001,4.0,3.0,58.0,116.0,11,1,4,1.8089999999999975,0.0,0.2459999999999951,16,12,8,99.56257037,9.777232727000012,15,11.391453295999995,464.0,6728.0,16.0
OCO,Haas F1 Team,7.666666666666667,4.833333333333334,1.5,78.372,77.538,78.04,28.209083333,38.422172413,30.046034482,95.412916666,77.073,17.0,13.0,3.0,21.0,18,17,16,2.0090000000000003,2.1119999999999948,2.361000000000004,4,14,14,96.67729022799999,6.8919525849999985,11,9.226023808999997,357.0,63.0,272.0
PER,Cadillac,10.666666666666666,5.333333333333333,0.0,78.172,79.261,78.691,31.661774193,37.497,28.809294117,95.778566666,77.545,19.0,14.0,0.0,0.0,13,20,19,1.8089999999999975,3.8349999999999937,3.0120000000000005,15,11,6,97.96806831,8.182730667000016,12,9.591673809,0.0,0.0,361.0
PIA,McLaren,5.333333333333333,7.666666666666666,5.0,76.566,75.483,75.893,30.27245,36.083208333,29.844958333,93.368157894,75.09,7.0,5.0,58.0,116.0,2,3,2,0.20300000000000296,0.05700000000000216,0.21399999999999864,8,2,12,96.200616666,6.415279023000011,5,7.181265037000003,812.0,6728.0,14.0
RUS,Mercedes,10.333333333333334,5.166666666666667,25.0,76.363,75.435,75.679,27.795166666,37.480964285,29.599107142,91.719,74.679,1.0,2.0,88.0,244.0,1,2,1,0.0,0.009000000000000341,0.0,3,10,11,94.87523809300001,5.089900450000016,3,5.53210714299999,244.0,21472.0,1.0
SAI,Williams,9.0,4.5,3.0,78.293,77.02,77.73,30.522307692,36.193310344,28.320827586,94.52326923,77.827,16.0,12.0,6.0,11.0,17,14,15,1.9300000000000068,1.593999999999994,2.051000000000002,9,4,3,95.036445622,5.251107979000011,7,8.336376372999993,176.0,66.0,240.0
STR,Aston Martin,11.0,5.5,0.5,80.318,79.459,80.103,35.3376875,41.677,32.7903,107.6904,78.758,21.0,22.0,0.0,1.0,22,22,22,3.9549999999999983,4.033000000000001,4.423999999999992,21,22,21,109.80498750000001,20.01964985700002,22,21.503507142999993,21.0,0.0,462.0
VER,Red Bull Racing,13.333333333333334,6.666666666666667,18.5,77.047,76.321,76.434,28.601366666,35.599090909,26.993424242,86.186892857,75.021,5.0,4.0,43.0,69.0,4,6,6,0.6839999999999975,0.894999999999996,0.7549999999999955,5,1,1,91.193881817,1.4085441740000135,1,0.0,345.0,2967.0,30.0
