index,Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Team,Constructor_Position,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
0,ALB,93.583,91.333,91.965,,35.533045454,45.24626923,25.847538461,106.156136363,11,SOFT,,,,,,,,,,,,2024,1
1,ALO,93.193,90.66,90.965,,34.509888888,45.203181818,26.649272727,105.022111111,12,SOFT,,,,,,,,,,,,2024,1
2,BOT,93.354,92.001,92.096,,37.062,45.67028,25.94636,105.441619047,13,SOFT,,,,,,,,,,,,2024,1
3,GAS,95.144,91.951,92.382,,36.61940909,46.72096,26.36576,109.341818181,12,SOFT,,,,,,,,,,,,2024,1
4,HAM,93.302,90.374,91.452,,35.130772727,45.67564,26.56548,101.43305,16,SOFT,,,,,,,,,,,,2024,1
5,HUL,97.938,90.884,91.278,,34.79035,45.52647826,26.521130434,104.047368421,14,SOFT,,,,,,,,,,,,2024,1
6,LEC,93.268,91.113,91.094,,36.70773913,46.678346153,27.697076923,107.856863636,14,SOFT,,,,,,,,,,,,2024,1
7,MAG,97.477,91.764,91.671,,35.834666666,46.824629629,27.379444444,105.180454545,15,SOFT,,,,,,,,,,,,2024,1
8,NOR,92.901,92.608,91.118,,35.490227272,44.99044,26.18508,105.583272727,13,SOFT,,,,,,,,,,,,2024,1
9,OCO,94.807,92.027,92.124,,36.721272727,48.30656,26.742,109.318761904,13,SOFT,,,,,,,,,,,,2024,1
10,PER,93.413,91.115,91.248,,36.068869565,44.742576923,25.888346153,104.155,17,SOFT,,,,,,,,,,,,2024,1
11,PIA,93.113,90.784,91.21,,34.476416666,44.582888888,25.622222222,103.818166666,13,SOFT,,,,,,,,,,,,2024,1
12,RIC,92.869,91.516,91.449,,34.235086956,45.15176923,26.325807692,104.961086956,15,SOFT,,,,,,,,,,,,2024,1
13,RUS,93.251,90.58,91.19,,37.41295,47.737652173,26.271913043,106.592944444,14,SOFT,,,,,,,,,,,,2024,1
14,SAI,93.385,90.769,90.824,,38.49990909,47.20548,27.56028,108.663,14,SOFT,,,,,,,,,,,,2024,1
15,SAR,94.213,91.715,92.125,,36.930391304,45.322407407,27.386777777,107.654,11,SOFT,,,,,,,,,,,,2024,1
16,STR,93.868,90.891,91.396,,35.679913043,45.961615384,26.728807692,105.804863636,14,SOFT,,,,,,,,,,,,2024,1
17,TSU,93.183,91.881,91.631,,34.841346153,46.749310344,26.58237931,106.52148,15,SOFT,,,,,,,,,,,,2024,1
18,VER,93.238,90.851,91.062,96.5795,34.702727272,44.53224,26.92504,102.493190476,16,SOFT,,,,,,,,,,,,2024,1
19,ZHO,93.923,92.048,92.0,,37.84076,46.274821428,27.429571428,107.394391304,15,SOFT,,,,,,,,,,,,2024,1
0,ALB,90.747,89.789,89.808,94.720714285,40.80856,32.862785714,32.560607142,104.114416666,15,HARD,,0.0,15.0,Williams,10,,,,,,,2024,2
1,ALO,89.845,88.827,89.038,94.743555555,39.38184,32.022678571,33.254642857,104.18116,15,MEDIUM,,2.0,9.0,Aston Martin,5,,,,,,,2024,2
2,BOT,90.783,90.153,90.083,,42.148833333,34.551518518,34.67374074,109.320217391,13,HARD,,0.0,19.0,Kick Sauber,7,,,,,,,2024,2
3,GAS,91.046,89.528,89.546,,40.074692307,33.376931034,33.494862068,107.005538461,13,MEDIUM,,0.0,18.0,Alpine,6,,,,,,,2024,2
4,HAM,90.236,89.504,89.268,,41.335555555,38.300545454,35.171181818,104.145642857,8,MEDIUM,,6.0,7.0,Mercedes,3,,,,,,,2024,2
5,HUL,91.411,90.077,89.675,,40.258782608,33.298846153,34.457115384,102.33647619,11,HARD,,0.0,16.0,Haas F1 Team,8,,,,,,,2024,2
6,LEC,90.03,89.18,88.608,94.401142857,41.619772727,33.6986,35.22092,102.049105263,10,SOFT,,12.0,4.0,Ferrari,2,,,,,,,2024,2
7,MAG,91.577,89.985,89.485,,39.486904761,33.852625,35.024041666,101.785263157,14,SOFT,,0.0,12.0,Haas F1 Team,8,,,,,,,2024,2
8,NOR,90.231,89.758,88.971,94.6528,40.355526315,34.110347826,34.605086956,106.680555555,8,HARD,,8.0,6.0,McLaren,4,,,,,,,2024,2
9,OCO,90.945,89.901,89.575,,40.779208333,33.909,34.097666666,108.788541666,12,MEDIUM,,0.0,17.0,Alpine,6,,,,,,,2024,2
10,PER,89.868,89.3,88.906,94.469642857,39.344916666,31.703555555,33.129592592,101.264956521,18,MEDIUM,,18.0,2.0,Red Bull Racing,1,,,,,,,2024,2
11,PIA,90.977,89.594,89.213,,40.024130434,32.16337037,32.473814814,104.57347826,9,MEDIUM,,4.0,8.0,McLaren,4,,,,,,,2024,2
12,RIC,90.917,90.088,89.74,,39.933961538,35.291896551,35.30037931,106.97775,13,SOFT,,0.0,13.0,RB,9,,,,,,,2024,2
13,RUS,89.939,89.057,88.964,,43.087380952,35.801583333,35.515625,107.574111111,7,MEDIUM,,10.0,5.0,Mercedes,3,,,,,,,2024,2
14,SAI,90.164,89.455,,,43.174217391,37.708230769,35.613653846,110.6379,10,MEDIUM,,15.0,3.0,Ferrari,2,,,,,,,2024,2
15,SAR,90.966,89.934,,,41.207625,34.149592592,35.021592592,103.269095238,13,MEDIUM,,0.0,20.0,Williams,10,,,,,,,2024,2
16,STR,90.58,89.336,89.127,,40.677333333,33.031333333,34.624259259,105.094173913,11,MEDIUM,,1.0,10.0,Aston Martin,5,,,,,,,2024,2
17,TSU,91.036,89.666,89.572,,41.09644,33.551857142,34.754642857,103.724304347,15,SOFT,,0.0,14.0,RB,9,,,,,,,2024,2
18,VER,89.659,89.158,88.412,94.038333333,41.925083333,33.985888888,33.405777777,105.030363636,13,MEDIUM,,26.0,1.0,Red Bull Racing,1,,,,,,,2024,2
19,ZHO,91.131,89.777,90.739,,40.744791666,34.645148148,33.434703703,107.469347826,13,MEDIUM,,0.0,11.0,Kick Sauber,7,,,,,,,2024,2
0,ALB,79.443,,77.759,,,,,,,,,0.0,13.0,Williams,10,,,,,,,2024,3
1,ALO,79.716,77.912,76.997,,32.56316129,19.640903225,40.505857142,92.425178571,15.0,MEDIUM,,12.0,7.0,Aston Martin,5,,,,,,,2024,3
2,BOT,80.014,78.585,77.752,,32.670129032,19.90553125,39.996862068,92.629,16.0,MEDIUM,,0.0,18.0,Kick Sauber,8,,,,,,,2024,3
3,GAS,79.622,78.691,78.39,79.4376,34.00090909,20.059818181,39.927133333,91.728965517,11.0,MEDIUM,,0.0,19.0,Alpine,7,,,,,,,2024,3
4,HAM,78.771,78.834,76.806,,35.56447826,22.661608695,44.646263157,101.17,9.0,MEDIUM,,8.0,8.0,Mercedes,4,,,,,,,2024,3
5,HUL,79.604,78.702,77.941,,33.696111111,20.535857142,40.70396,93.709416666,12.0,MEDIUM,,1.0,13.0,Haas F1 Team,6,,,,,,,2024,3
6,LEC,78.599,77.277,76.714,,35.999461538,21.6285,41.357956521,98.340521739,11.0,MEDIUM,,28.0,3.5,Ferrari,2,,,,,,,2024,3
7,MAG,79.489,79.275,77.961,,33.733774193,20.870903225,40.388928571,94.763714285,16.0,MEDIUM,,0.0,12.0,Haas F1 Team,6,,,,,,,2024,3
8,NOR,78.564,78.155,77.49,,33.393217391,20.22047826,40.158263157,92.962315789,11.0,MEDIUM,,12.0,7.0,McLaren,3,,,,,,,2024,3
9,OCO,79.561,78.705,77.92,,33.99565625,20.702,39.977517241,92.434321428,14.0,MEDIUM,,0.0,15.0,Alpine,7,,,,,,,2024,3
10,PER,78.642,78.09,77.014,,33.473875,21.51690909,41.0817,94.332071428,12.0,MEDIUM,,36.0,2.0,Red Bull Racing,1,,,,,,,2024,3
11,PIA,78.918,78.077,77.087,,31.718586206,19.295241379,40.07626923,88.33448,14.0,MEDIUM,,16.0,6.0,McLaren,3,,,,,,,2024,3
12,RIC,79.274,78.534,77.963,,34.990033333,21.262933333,40.270423076,95.560884615,10.0,MEDIUM,,0.0,14.5,RB,9,,,,,,,2024,3
13,RUS,78.597,77.951,76.886,,35.102333333,21.231708333,40.498047619,95.48947619,10.0,MEDIUM,,18.0,5.5,Mercedes,4,,,,,,,2024,3
14,SAI,78.686,77.707,76.791,,36.87912,21.98192,41.378681818,98.941772727,12.0,MEDIUM,,15.0,3.0,Ferrari,2,,,,,,,2024,3
15,SAR,79.519,78.578,,,34.165391304,20.433695652,40.00365,94.97955,7.0,SOFT,,0.0,17.0,Williams,10,,,,,,,2024,3
16,STR,78.667,77.822,77.341,,33.420689655,20.677,41.323076923,92.54196,13.0,MEDIUM,,1.0,14.5,Aston Martin,5,,,,,,,2024,3
17,TSU,78.621,78.188,77.673,,35.46837037,22.211111111,42.623458333,98.027913043,12.0,MEDIUM,,0.0,14.5,RB,9,,,,,,,2024,3
18,VER,78.582,77.658,76.734,,33.403,21.122142857,42.660333333,97.319166666,8.0,MEDIUM,,51.0,1.0,Red Bull Racing,1,,,,,,,2024,3
19,ZHO,79.989,78.421,77.876,,34.173375,20.09846875,42.300034482,96.508068965,15.0,MEDIUM,,0.0,14.5,Kick Sauber,8,,,,,,,2024,3
0,ALB,91.943,,90.533,,59.205,49.9566,26.388,123.821,3.0,INTERMEDIATE,,0.0,12.333333333333334,Williams,10.0,,,,,,,2024,4
1,ALO,90.599,,90.082,,,,,,,,,16.0,7.333333333333333,Aston Martin,5.0,,,,,,,2024,4
2,BOT,92.054,,90.546,,62.477333333,53.938285714,26.999571428,129.935,3.0,INTERMEDIATE,,0.0,16.666666666666668,Kick Sauber,9.0,,,,,,,2024,4
3,GAS,92.277,,91.141,,,,,,,,,0.0,17.0,Alpine,8.0,,,,,,,2024,4
4,HAM,90.543,95.226,90.037,,48.6565,48.03,22.765666666,120.742,4.0,SOFT,,8.0,11.333333333333334,Mercedes,4.0,,,,,,,2024,4
5,HUL,91.958,,91.139,,52.342666666,46.8142,24.0742,124.285666666,3.0,SOFT,,3.0,11.666666666666666,Haas F1 Team,7.0,,,,,,,2024,4
6,IWA,92.103,,,,,,,,,,,,,,,,,,,,,2024,4
7,LEC,90.558,98.76,90.383,,47.487333333,47.6955,24.29975,120.645666666,4.0,SOFT,,47.0,3.0,Ferrari,2.0,,,,,,,2024,4
8,MAG,92.803,,91.462,,67.1615,63.6905,29.89275,,3.0,INTERMEDIATE,,1.0,11.333333333333334,Haas F1 Team,7.0,,,,,,,2024,4
9,NOR,91.24,,90.137,,55.5135,44.101666666,21.896,121.412,3.0,SOFT,,27.0,5.666666666666667,McLaren,3.0,,,,,,,2024,4
10,OCO,91.935,,91.022,,63.7305,50.427333333,24.111666666,119.113,3.0,SOFT,,0.0,15.333333333333334,Alpine,8.0,,,,,,,2024,4
11,PER,90.237,,89.832,,,,,,,,,46.0,3.0,Red Bull Racing,1.0,,,,,,,2024,4
12,PIA,91.165,94.725,90.226,,43.1658,45.046571428,22.082714285,109.2386,6.0,SOFT,,28.0,5.333333333333333,McLaren,3.0,,,,,,,2024,4
13,RUS,90.53,,89.918,,,,,,,,,18.0,9.333333333333334,Mercedes,4.0,,,,,,,2024,4
14,SAI,90.269,,90.171,,56.907,47.945,24.802,130.024,3.0,SOFT,,40.0,2.0,Ferrari,2.0,,,,,,,2024,4
15,SAR,93.204,,91.452,,,,,,,,,0.0,17.0,Williams,10.0,,,,,,,2024,4
16,STR,92.055,,91.342,,,,,,,,,9.0,11.666666666666666,Aston Martin,5.0,,,,,,,2024,4
17,TSU,91.23,100.946,90.341,,47.7355,53.27825,24.813875,118.2918,5.0,INTERMEDIATE,,6.0,12.0,RB,6.0,,,,,,,2024,4
18,VER,90.056,,89.563,,,,,,,,,51.0,7.0,Red Bull Racing,1.0,,,,,,,2024,4
19,ZHO,92.638,,91.067,,61.890333333,53.39,26.873,139.141666666,3.0,INTERMEDIATE,,0.0,14.666666666666666,Kick Sauber,9.0,,,,,,,2024,4
0,ALB,80.05,77.135,76.47,,32.212714285,32.631565217,31.128869565,96.061142857,12.0,MEDIUM,,0.0,14.5,Williams,10,,,,,,,2024,7
1,ALO,77.867,76.838,77.339,,30.053346153,33.123482758,31.255517241,94.830076923,13.0,MEDIUM,,33.0,7.333333333333333,Aston Martin,5,,,,,,,2024,7
2,BEA,78.667,,,,,,,,,,,6.0,7.0,Ferrari,2,,,,,,,2024,7
3,BOT,78.827,77.088,76.695,,30.56408,31.674642857,32.492464285,94.01956,13.0,MEDIUM,,0.0,16.666666666666668,Kick Sauber,9,,,,,,,2024,7
4,GAS,77.905,77.064,77.361,,31.439413793,32.4489375,32.03684375,95.749206896,10.0,HARD,,0.0,15.333333333333334,Alpine,8,,,,,,,2024,7
5,HAM,77.408,76.297,76.96,80.794666666,34.554307692,35.779275862,33.290551724,95.46247826,11.0,HARD,,20.0,9.666666666666666,Mercedes,4,,,,,,,2024,7
6,HUL,81.059,76.826,76.547,,30.489541666,31.520178571,31.171071428,93.0385,11.0,MEDIUM,,4.0,11.166666666666666,Haas F1 Team,7,,,,,,,2024,7
7,LEC,76.99,75.906,76.087,80.559714285,31.18,33.146206896,32.957241379,96.838346153,15.0,MEDIUM,,86.0,3.3333333333333335,Ferrari,2,,,,,,,2024,7
8,NOR,77.602,76.98,75.829,80.753384615,29.856518518,30.9308,30.8509,88.716846153,17.0,MEDIUM,,80.0,4.166666666666667,McLaren,3,,,,,,,2024,7
9,OCO,78.612,77.008,76.481,,30.820821428,32.000516129,32.544580645,95.647821428,15.0,HARD,,1.0,13.666666666666666,Alpine,8,,,,,,,2024,7
10,PER,77.233,76.552,76.631,,34.082863636,34.51608,34.62904,97.94095,11.0,MEDIUM,,91.0,3.0,Red Bull Racing,1,,,,,,,2024,7
11,PIA,77.807,76.098,75.529,80.6874,31.716444444,31.234133333,31.187166666,91.604115384,13.0,HARD,,36.0,7.5,McLaren,3,,,,,,,2024,7
12,RIC,78.142,76.967,76.56,,31.37475862,32.40259375,31.0286875,94.83675862,17.0,MEDIUM,,0.0,15.5,RB,6,,,,,,,2024,7
13,RUS,77.094,76.311,76.095,,32.684103448,33.7283125,31.74290625,98.725620689,12.0,HARD,,36.0,8.166666666666666,Mercedes,4,,,,,,,2024,7
14,SAI,77.12,76.423,76.067,80.989142857,34.703962962,33.292166666,32.8525,98.936576923,14.0,MEDIUM,,75.0,3.4,Ferrari,2,,,,,,,2024,7
15,SAR,79.901,77.848,76.794,,29.79415,30.666090909,30.00090909,90.2809,14.0,HARD,,0.0,17.6,Williams,10,,,,,,,2024,7
16,STR,78.072,76.991,76.543,,30.444608695,33.400384615,31.516076923,95.457956521,11.0,MEDIUM,,9.0,13.166666666666666,Aston Martin,5,,,,,,,2024,7
17,TSU,77.388,76.286,76.668,,31.25137931,32.3766875,31.3223125,95.374551724,17.0,MEDIUM,,13.0,12.0,RB,6,,,,,,,2024,7
18,VER,77.24,76.447,76.366,,33.3662,35.102869565,33.373565217,99.408894736,11.0,MEDIUM,,120.0,4.166666666666667,Red Bull Racing,1,,,,,,,2024,7
19,ZHO,79.129,77.606,77.891,,31.62352,31.896928571,31.15225,94.48424,11.0,MEDIUM,,0.0,15.0,Kick Sauber,9,,,,,,,2024,7
0,ALB,73.425,72.257,72.18,74.964454545,22.574026315,39.174894736,24.239805555,85.883916666,15,MEDIUM,,0.0,15.285714285714286,Williams,10,,,,,,,2024,8
1,ALO,72.775,71.753,72.087,,22.186594594,39.257864864,24.546352941,85.744441176,13,MEDIUM,,33.0,9.0,Aston Martin,5,,,,,,,2024,8
2,BOT,73.248,73.057,,73.543333333,22.84432258,40.997709677,24.945785714,88.623464285,14,MEDIUM,,0.0,16.857142857142858,Kick Sauber,9,,,,,,,2024,8
3,GAS,75.574,72.75,72.144,74.152333333,23.2538,39.838942857,24.24290625,87.58225,13,MEDIUM,,0.0,15.428571428571429,Alpine,8,,,,,,,2024,8
4,HAM,72.169,71.466,71.71,,23.23890625,41.65925,24.227448275,86.730357142,13,MEDIUM,,28.0,9.142857142857142,Mercedes,4,,,,,,,2024,8
5,HUL,73.576,72.569,72.192,,23.15567647,40.312970588,23.710225806,86.472806451,11,MEDIUM,,4.0,11.142857142857142,Haas F1 Team,7,,,,,,,2024,8
6,LEC,72.397,71.278,71.369,72.3468,22.034567567,39.155891891,24.715882352,85.807029411,12,MEDIUM,,101.0,3.2857142857142856,Ferrari,2,,,,,,,2024,8
7,MAG,73.39,72.473,72.216,,22.82316129,39.095677419,23.479785714,84.994821428,11,SOFT,,1.0,13.428571428571429,Haas F1 Team,7,,,,,,,2024,8
8,NOR,72.396,71.953,71.988,,22.518942857,38.519314285,23.8455625,84.64821875,13,MEDIUM,,98.0,3.857142857142857,McLaren,3,,,,,,,2024,8
9,OCO,74.159,72.554,72.472,73.476583333,22.394617647,38.75467647,23.189354838,83.926967741,14,MEDIUM,,1.0,13.714285714285714,Alpine,8,,,,,,,2024,8
10,PER,73.229,72.099,71.923,75.919666666,22.829612903,39.264709677,24.316321428,86.464928571,11,MEDIUM,,95.0,3.7142857142857144,Red Bull Racing,1,,,,,,,2024,8
11,PIA,72.198,72.366,71.901,74.885090909,22.122342857,38.622942857,25.1195625,85.42615625,14,MEDIUM,,48.0,7.0,McLaren,3,,,,,,,2024,8
12,RIC,72.901,72.577,72.829,74.5424,22.719888888,39.966888888,24.224382352,87.034647058,13,MEDIUM,,0.0,15.142857142857142,RB,6,,,,,,,2024,8
13,RUS,72.295,72.26,71.968,,23.197366666,40.4774,25.608230769,89.20376923,11,MEDIUM,,43.0,8.0,Mercedes,4,,,,,,,2024,8
14,SAI,72.954,71.962,71.979,75.3774,23.774055555,43.071666666,24.726090909,92.107575757,11,MEDIUM,,85.0,3.6666666666666665,Ferrari,2,,,,,,,2024,8
15,SAR,74.15,72.79,72.703,,22.529277777,39.009611111,24.21115625,82.397419354,12,MEDIUM,,0.0,17.5,Williams,10,,,,,,,2024,8
16,STR,72.789,72.062,72.331,73.5368,23.602227272,42.4395,23.71995,90.41485,12,MEDIUM,,11.0,12.571428571428571,Aston Martin,5,,,,,,,2024,8
17,TSU,72.875,72.349,71.991,74.197,23.328166666,39.663583333,24.482333333,87.07730303,13,MEDIUM,,14.0,11.714285714285714,RB,6,,,,,,,2024,8
18,VER,72.984,71.813,71.566,,21.674243243,37.903648648,25.229941176,84.707970588,12,HARD,,145.0,3.7142857142857144,Red Bull Racing,1,,,,,,,2024,8
19,ZHO,74.57,73.773,73.83,74.6475,23.834125,40.4740625,25.29237931,89.465310344,15,MEDIUM,,0.0,15.0,Kick Sauber,9,,,,,,,2024,8
0,BOT,87.67,77.817,73.642,,26.45147619,29.941,38.540722222,94.248555555,12,INTERMEDIATE,,0.0,16.375,Kick Sauber,10,,,,,,,2024,9
1,GAS,87.584,80.789,73.737,,26.593115384,28.946846153,36.756391304,92.199130434,13,INTERMEDIATE,,1.0,14.75,Alpine,8,,,,,,,2024,9
2,HAM,85.97,76.908,72.549,78.9348,25.771148148,27.738037037,37.552217391,90.667260869,14,SOFT,,35.0,8.875,Mercedes,4,,,,,,,2024,9
3,LEC,85.306,76.556,73.349,,26.345708333,29.807958333,39.0046,93.41145,13,MEDIUM,,126.0,3.0,Ferrari,2,,,,,,,2024,9
4,MAG,89.052,76.773,73.439,,25.7104,28.609,37.93976923,91.223384615,12,SOFT,,1.0,14.25,Haas F1 Team,7,,,,,,,2024,9
5,NOR,84.435,80.843,73.293,,26.158857142,29.342142857,38.945333333,94.451611111,14,INTERMEDIATE,,110.0,3.875,McLaren,3,,,,,,,2024,9
6,PER,88.058,77.041,73.342,,25.930166666,28.819578947,38.542533333,93.534133333,10,INTERMEDIATE,,95.0,5.5,Red Bull Racing,1,,,,,,,2024,9
7,PIA,86.754,79.008,73.266,,26.1516,28.32005,36.359117647,91.006764705,11,INTERMEDIATE,,66.0,6.375,McLaren,3,,,,,,,2024,9
8,RIC,88.582,76.731,73.279,,25.589304347,29.202956521,36.9078,90.15965,12,INTERMEDIATE,,0.0,14.75,RB,6,,,,,,,2024,9
9,RUS,88.541,76.273,72.957,,25.943,28.215666666,36.714052631,90.018421052,8,SOFT,,53.0,7.625,Mercedes,4,,,,,,,2024,9
10,SAI,84.763,77.722,73.57,,25.973925925,29.274037037,37.421541666,91.60375,14,MEDIUM,,100.0,3.5714285714285716,Ferrari,2,,,,,,,2024,9
11,TSU,88.723,76.951,73.716,,25.972045454,28.657636363,37.598947368,91.800789473,12,INTERMEDIATE,,18.0,11.25,RB,6,,,,,,,2024,9
12,VER,86.502,79.311,72.923,,24.540333333,26.84225,32.108,83.721,3,SOFT,,153.0,4.0,Red Bull Racing,1,,,,,,,2024,9
0,ALB,75.417,74.807,73.753,,27.737967741,36.70717647,28.561147058,92.809903225,16.0,SOFT,,2.0,14.777777777777779,Williams,9,,,,,,,2024,10
1,ALO,75.222,74.091,73.786,,28.96096,36.495857142,29.150214285,92.98852,12.0,MEDIUM,,41.0,8.88888888888889,Aston Martin,5,,,,,,,2024,10
2,BEA,75.865,,,,,,,,,,,6.0,7.0,Ferrari,2,,,,,,,2024,10
3,BOT,75.472,73.924,74.024,,29.276555555,35.689833333,28.9045,93.337333333,16.0,MEDIUM,,0.0,16.0,Kick Sauber,10,,,,,,,2024,10
4,GAS,75.484,73.443,73.964,,29.635625,37.636666666,28.484037037,95.376666666,12.0,MEDIUM,,3.0,14.11111111111111,Alpine,7,,,,,,,2024,10
5,HAM,74.911,73.264,73.359,,32.26144,39.309428571,29.216642857,91.827571428,14.0,SOFT,,48.0,8.333333333333334,Mercedes,4,,,,,,,2024,10
6,LEC,75.434,73.597,73.05,,31.383,38.316318181,30.400818181,95.489555555,9.0,SOFT,,126.0,4.777777777777778,Ferrari,2,,,,,,,2024,10
7,MAG,75.644,74.021,74.074,,29.377724137,39.4004375,28.63309375,92.669296296,17.0,SOFT,,1.0,14.0,Haas F1 Team,8,,,,,,,2024,10
8,NOR,74.228,73.319,73.043,,26.979535714,34.715032258,26.733225806,87.539107142,15.0,SOFT,,128.0,3.6666666666666665,McLaren,3,,,,,,,2024,10
9,OCO,75.086,73.766,73.95,,29.726259259,38.759933333,29.231233333,97.148888888,14.0,SOFT,,2.0,13.666666666666666,Alpine,7,,,,,,,2024,10
10,PER,74.692,74.081,73.723,,28.712947368,35.77647826,29.562913043,92.677421052,12.0,MEDIUM,,95.0,6.888888888888889,Red Bull Racing,1,,,,,,,2024,10
11,PIA,74.867,73.622,73.907,,26.484958333,34.256142857,28.243535714,86.895458333,13.0,SOFT,,76.0,6.222222222222222,McLaren,3,,,,,,,2024,10
12,RIC,75.58,74.257,74.161,,29.515576923,36.567137931,28.045,93.282461538,13.0,MEDIUM,,4.0,14.0,RB,6,,,,,,,2024,10
13,RUS,74.614,73.722,73.164,,31.50944,38.330964285,29.517107142,99.40844,7.0,SOFT,,68.0,7.111111111111111,Mercedes,4,,,,,,,2024,10
14,SAI,74.572,73.286,73.013,,28.63037037,35.154133333,27.234533333,90.44974074,14.0,SOFT,,100.0,5.125,Ferrari,2,,,,,,,2024,10
15,SAR,75.752,75.07,74.729,,27.898,35.809242424,28.5859375,89.879517241,18.0,HARD,,0.0,17.5,Williams,9,,,,,,,2024,10
16,STR,75.512,74.402,74.254,,31.92036,38.579607142,29.361392857,94.355260869,13.0,SOFT,,17.0,12.11111111111111,Aston Martin,5,,,,,,,2024,10
17,TSU,75.916,74.211,74.42,,27.852785714,35.788,29.196193548,89.408555555,19.0,SOFT,,18.0,11.555555555555555,RB,6,,,,,,,2024,10
18,VER,74.252,73.504,73.087,,28.475615384,35.286793103,26.746724137,89.739807692,12.0,MEDIUM,,178.0,3.6666666666666665,Red Bull Racing,1,,,,,,,2024,10
19,ZHO,75.616,74.345,74.572,,28.234833333,36.316380952,29.572523809,93.645222222,9.0,HARD,,0.0,15.11111111111111,Kick Sauber,10,,,,,,,2024,10
0,ALB,88.649,87.645,99.603,,32.348608695,41.650923076,27.278538461,100.645869565,13.0,MEDIUM,,2.0,15.090909090909092,Williams,9.0,,,,,,,2024,12
