Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Constructor_Position,Team,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
KUB,96.847,96.121,96.176,,30.012057142,31.934236842,47.230473684,107.262352941,19.0,HARD,,0.0,17.0,10.0,Williams,1.0,1.0,16.0,16.0,,17.0,2019,3
KVY,95.447,94.694,94.783,98.901666666,27.196411764,31.1528,46.28615,104.420294117,14.0,HARD,,0.0,19.0,9.0,Toro Rosso,1.0,0.75,11.25,11.25,,19.0,2019,3
LEC,94.167,94.158,93.248,,30.641181818,33.064692307,48.399307692,112.421727272,7.0,MEDIUM,,20.0,5.0,2.0,Ferrari,0.0,0.0,4.25,4.25,91.865,5.0,2019,3
MAG,95.517,94.788,95.998,,27.822032258,31.905117647,45.530382352,105.222451612,11.0,HARD,,0.0,13.0,6.0,Haas F1 Team,1.0,0.75,14.25,14.25,,13.0,2019,3
NOR,95.631,94.296,94.938,,29.123705882,31.443289473,46.195894736,106.13617647,16.0,SOFT,,0.0,18.0,5.0,McLaren,1.0,0.75,14.25,14.25,,18.0,2019,3
PER,95.82,94.784,95.078,,27.49953125,30.747457142,46.1362,103.6046875,18.0,HARD,,8.0,8.0,8.0,Racing Point,1.0,0.75,11.5,11.5,,8.0,2019,3
RAI,95.729,94.551,94.246,,27.7012,31.041878787,46.091424242,104.411233333,15.0,SOFT,,4.0,9.0,4.0,Alfa Romeo Racing,1.0,0.5,10.25,10.25,,9.0,2019,3
RIC,95.239,94.336,95.142,99.4318,29.020896551,32.8051875,47.861625,106.898607142,12.0,MEDIUM,,12.0,7.0,7.0,Renault,1.0,1.0,15.25,15.25,92.958,7.0,2019,3
RUS,97.619,96.229,96.124,,29.076375,31.685285714,46.226857142,106.5791875,19.0,MEDIUM,,0.0,16.0,10.0,Williams,1.0,1.0,16.0,16.0,,16.0,2019,3
SAI,95.756,94.141,94.51,98.8326,28.750333333,31.554138888,46.523694444,106.293757575,17.0,SOFT,,0.0,14.0,5.0,McLaren,1.0,0.75,14.25,14.25,,14.0,2019,3
STR,95.466,94.779,95.223,,28.212470588,31.880864864,46.786675675,106.173058823,18.0,HARD,,0.0,12.0,8.0,Racing Point,1.0,0.75,11.5,11.5,,12.0,2019,3
VER,94.334,93.551,94.447,98.950375,27.5735,31.549275862,46.756482758,104.541538461,11.0,MEDIUM,,24.0,4.0,3.0,Red Bull Racing,0.0,0.25,6.5,6.5,92.089,4.0,2019,3
VET,93.911,93.357,93.222,,29.7953,31.082060606,46.630757575,105.326344827,15.0,SOFT,,30.0,3.0,2.0,Ferrari,0.0,0.0,4.25,4.25,91.848,3.0,2019,3
LEC,107.497,102.872,101.604,,44.951583333,46.335629629,27.743692307,115.2018,7.0,SOFT,,33.0,5.0,2.0,Ferrari,0.0,0.0,4.166666666666667,4.166666666666667,,5.0,2019,4
VET,109.598,103.196,101.802,108.0522,42.618916666,45.740538461,27.650846153,113.80095238,12.0,MEDIUM,,45.0,3.0,2.0,Ferrari,0.0,0.0,4.166666666666667,4.166666666666667,100.797,3.0,2019,4
ALB,80.03,78.779,77.864,,25.336925,32.28690909,30.326227272,87.56645,16.0,HARD,,0.0,11.0,9.0,Toro Rosso,0.0,0.875,13.0,13.333333333333334,,11.0,2019,5
BOT,77.951,77.284,77.123,81.995428571,26.2645625,33.340771428,30.834117647,89.685193548,11.0,MEDIUM,,72.0,2.0,1.0,Mercedes,0.0,0.0,1.5,1.5,75.406,2.0,2019,5
GAS,79.285,78.238,78.693,,27.105580645,34.224617647,30.430727272,91.0036,12.0,SOFT,,32.0,6.0,3.0,Red Bull Racing,0.0,0.25,7.125,7.166666666666667,76.708,6.0,2019,5
GIO,80.021,79.427,78.74,,25.405558823,33.566837837,30.915648648,89.616852941,15.0,SOFT,,0.0,16.0,6.0,Alfa Romeo Racing,0.0,0.75,10.875,10.666666666666666,,16.0,2019,5
GRO,78.943,78.153,77.192,,24.557025641,32.6725,30.835761904,87.880487179,14.0,HARD,,4.0,10.0,8.0,Haas F1 Team,0.0,0.875,14.0,14.666666666666666,76.911,10.0,2019,5
HAM,78.575,77.333,76.568,82.2686,27.36903125,32.942542857,30.442771428,90.5105625,11.0,HARD,,104.0,1.0,1.0,Mercedes,0.0,0.0,1.5,1.5,76.04,1.0,2019,5
HUL,79.45,78.861,78.35,,25.755179487,32.759465116,30.28144186,88.442205128,14.0,HARD,,0.0,13.0,7.0,Renault,0.0,1.0,15.25,16.0,,13.0,2019,5
KUB,80.889,80.781,80.57,,25.7557,34.777173913,33.106043478,92.0658,8.0,SOFT,,0.0,18.0,10.0,Williams,1.0,1.0,16.0,15.833333333333334,,18.0,2019,5
KVY,79.364,78.722,78.105,,26.283916666,33.060275,30.929525,89.563611111,15.0,MEDIUM,,8.0,9.0,9.0,Toro Rosso,0.0,0.875,13.0,13.333333333333334,77.573,9.0,2019,5
LEC,78.172,77.585,77.099,82.4582,26.591153846,32.428095238,30.561619047,88.929538461,16.0,SOFT,,40.0,5.0,2.0,Ferrari,0.0,0.0,4.125,4.0,76.588,5.0,2019,5
MAG,79.18,78.355,77.53,,25.206324324,33.666025,30.910675,89.808135135,14.0,SOFT,,24.0,7.0,8.0,Haas F1 Team,0.0,0.875,14.0,14.666666666666666,76.922,7.0,2019,5
NOR,80.066,79.041,79.007,,24.93305,32.015255813,30.307511627,86.786025,17.0,SOFT,,0.0,20.0,4.0,McLaren,1.0,0.625,13.0,12.0,,20.0,2019,5
PER,80.459,79.448,78.656,,24.492864864,32.5052,30.590725,87.284675675,16.0,HARD,,0.0,15.0,5.0,Racing Point,0.0,0.625,10.125,9.833333333333334,,15.0,2019,5
RAI,80.591,78.727,77.969,,24.633807692,33.700466666,30.969266666,89.349115384,8.0,MEDIUM,,0.0,14.0,6.0,Alfa Romeo Racing,0.0,0.75,10.875,10.666666666666666,,14.0,2019,5
RIC,79.511,78.934,78.974,82.399,26.823351351,33.252575,30.381125,89.730459459,15.0,MEDIUM,,0.0,12.0,7.0,Renault,0.0,1.0,15.25,16.0,78.106,12.0,2019,5
RUS,80.99,80.191,79.421,,27.609382352,33.547131578,31.475394736,92.157411764,13.0,MEDIUM,,0.0,17.0,10.0,Williams,1.0,1.0,16.0,15.833333333333334,,17.0,2019,5
SAI,79.155,78.658,78.003,,25.431536585,31.926466666,30.385733333,87.306439024,20.0,SOFT,,16.0,8.0,4.0,McLaren,0.0,0.625,13.0,12.0,,8.0,2019,5
STR,79.855,78.839,78.734,,24.568933333,32.354696969,29.87460606,86.434533333,14.0,SOFT,,0.0,19.0,5.0,Racing Point,1.0,0.625,10.125,9.833333333333334,,19.0,2019,5
VER,79.844,78.035,77.558,,26.824153846,34.329533333,31.061133333,90.645730769,8.0,MEDIUM,,60.0,3.0,3.0,Red Bull Racing,0.0,0.25,7.125,7.166666666666667,76.357,3.0,2019,5
VET,78.066,77.673,77.172,82.4085,27.397157894,32.858414634,30.759951219,90.412842105,17.0,MEDIUM,,48.0,4.0,2.0,Ferrari,0.0,0.0,4.125,4.0,76.272,4.0,2019,5
ALB,73.827,72.031,72.338,,21.497960784,37.499647058,22.401854166,80.876145833,20.0,SOFT,,20.0,8.0,9.0,Toro Rosso,0.0,0.7,12.4,13.166666666666666,71.653,8.0,2019,6
BOT,72.178,71.199,71.318,75.044166666,21.353297872,37.335531914,25.507431818,83.67265909,13.0,SOFT,,75.0,3.0,1.0,Mercedes,0.0,0.0,1.5,1.5,70.252,3.0,2019,6
GAS,73.17,71.938,71.738,72.838545454,21.315641025,38.024487179,23.298194444,82.069222222,12.0,SOFT,,55.0,5.0,3.0,Red Bull Racing,0.0,0.2,6.6,6.666666666666667,71.041,5.0,2019,6
GIO,73.437,72.239,72.17,74.0002,21.421843137,37.43617647,22.49225,80.9105,26.0,MEDIUM,,0.0,19.0,7.0,Alfa Romeo Racing,1.0,0.6,11.7,12.666666666666666,,19.0,2019,6
GRO,73.379,72.392,72.566,,21.35545098,37.323882352,22.760291666,81.087479166,17.0,SOFT,,5.0,10.0,6.0,Haas F1 Team,0.0,0.7,12.9,12.0,,10.0,2019,6
HAM,72.106,71.118,71.478,74.881,22.524975609,38.196585365,24.53427027,84.779459459,12.0,SOFT,,125.0,1.0,1.0,Mercedes,0.0,0.0,1.5,1.5,70.166,1.0,2019,6
HUL,73.227,72.872,72.489,,21.537367346,37.354897959,22.944195652,81.534369565,17.0,MEDIUM,,0.0,13.0,8.0,Renault,1.0,0.8,14.7,14.333333333333334,,13.0,2019,6
KUB,75.514,75.146,74.086,,21.825644444,38.100533333,23.245071428,82.659809523,19.0,SOFT,,0.0,18.0,10.0,Williams,1.0,1.0,16.3,16.5,,18.0,2019,6
KVY,73.731,72.577,72.194,,21.289,38.383076923,23.384194444,82.650527777,17.0,SOFT,,30.0,7.0,9.0,Toro Rosso,0.0,0.7,12.4,13.166666666666666,71.271,7.0,2019,6
LEC,72.467,72.35,71.265,72.879166666,21.572214285,37.9105,25.843578947,83.053972972,14.0,SOFT,,0.0,20.0,2.0,Ferrari,1.0,0.0,4.2,4.166666666666667,,20.0,2019,6
MAG,73.232,72.174,72.27,73.691714285,21.7835,37.980796296,22.339235294,81.048862745,18.0,SOFT,,0.0,14.0,6.0,Haas F1 Team,1.0,0.7,12.9,12.0,71.109,14.0,2019,6
NOR,74.278,72.393,72.914,,22.125,38.309148148,25.640173913,85.537391304,7.0,SOFT,,0.0,11.0,4.0,McLaren,0.0,0.6,13.2,12.5,,11.0,2019,6
PER,74.566,72.752,73.232,,21.658863636,38.22190909,24.209585365,83.943390243,14.0,MEDIUM,,0.0,12.0,5.0,Racing Point,1.0,0.6,11.5,11.5,,12.0,2019,6
RAI,73.363,72.342,72.308,73.565272727,21.25145098,37.683568627,22.78175,81.331208333,19.0,SOFT,,0.0,17.0,7.0,Alfa Romeo Racing,1.0,0.6,11.7,12.666666666666666,,17.0,2019,6
RIC,73.413,72.888,72.519,73.4195,21.244886792,37.874188679,22.64502,81.366,22.0,SOFT,,10.0,9.0,8.0,Renault,0.0,0.8,14.7,14.333333333333334,71.218,9.0,2019,6
RUS,75.115,75.052,74.305,,23.190648648,38.667648648,23.954911764,83.871058823,18.0,MEDIUM,,0.0,15.0,10.0,Williams,1.0,1.0,16.3,16.5,,15.0,2019,6
STR,76.135,74.558,73.622,75.617,22.072825,38.6434,24.051527777,84.408833333,12.0,SOFT,,0.0,16.0,5.0,Racing Point,1.0,0.6,11.5,11.5,,16.0,2019,6
VER,72.165,72.052,71.539,,22.252588235,37.279058823,24.166933333,83.334333333,10.0,SOFT,,60.0,4.0,3.0,Red Bull Racing,0.0,0.2,6.6,6.666666666666667,70.641,4.0,2019,6
VET,72.823,71.881,72.583,73.0226,21.912785714,37.72245238,24.373461538,83.712615384,15.0,SOFT,,90.0,2.0,2.0,Ferrari,0.0,0.0,4.2,4.166666666666667,70.947,2.0,2019,6
ALB,74.703,73.436,72.423,,24.154288888,26.977511111,33.819292682,84.652390243,15.0,MEDIUM,,0.0,19.0,7.0,Toro Rosso,1.0,0.5833333333333334,11.583333333333334,10.833333333333334,,19.0,2019,7
BOT,72.914,72.311,71.531,76.583875,23.340043478,26.293804347,33.13088372,82.318279069,19.0,HARD,,78.0,4.0,1.0,Mercedes,0.0,0.0,1.5833333333333333,1.6666666666666667,71.101,4.0,2019,7
GAS,74.57,73.345,71.914,74.999,23.335973684,26.632210526,33.032885714,83.207,12.0,HARD,,24.0,8.0,3.0,Red Bull Racing,1.0,0.16666666666666666,6.25,6.5,71.079,8.0,2019,7
GIO,74.582,74.87,72.627,,25.1644375,27.2120625,34.305615384,84.39576923,5.0,HARD,,0.0,13.0,9.0,Alfa Romeo Racing,1.0,0.6666666666666666,12.75,14.666666666666666,,13.0,2019,7
GRO,74.645,73.598,73.197,,23.38776923,26.837153846,34.123527777,84.091138888,14.0,SOFT,,0.0,14.0,6.0,Haas F1 Team,1.0,0.6666666666666666,12.75,12.0,,14.0,2019,7
HAM,72.767,72.938,71.236,,25.925,29.2385,37.7805,92.937,5.0,MEDIUM,,150.0,1.0,1.0,Mercedes,0.0,0.0,1.5833333333333333,1.6666666666666667,70.446,1.0,2019,7
HUL,74.474,73.168,72.305,76.932,23.288547619,25.790023809,32.369564102,80.851897435,11.0,HARD,,36.0,7.0,8.0,Renault,1.0,0.75,14.083333333333334,13.5,71.324,7.0,2019,7
KVY,75.343,73.521,72.298,,24.013425,26.487425,33.405324324,83.67427027,14.0,MEDIUM,,6.0,10.0,7.0,Toro Rosso,1.0,0.5833333333333334,11.583333333333334,10.833333333333334,,10.0,2019,7
LAT,76.199,,,,,,,,,,,,,,,,,,,,,2019,7
LEC,73.72,72.177,70.982,,24.422,26.103743589,33.079194444,82.78,19.0,MEDIUM,,90.0,3.0,2.0,Ferrari,0.0,0.08333333333333333,5.333333333333333,6.5,70.92,3.0,2019,7
MAG,74.202,72.935,72.337,74.6384,23.910707317,26.963243902,33.492789473,84.035052631,18.0,SOFT,,0.0,17.0,6.0,Haas F1 Team,1.0,0.6666666666666666,12.75,12.0,,17.0,2019,7
NOR,74.246,73.249,72.154,,24.220394736,26.482710526,33.354941176,84.325058823,15.0,SOFT,,0.0,20.0,4.0,McLaren,1.0,0.5,12.416666666666666,10.0,71.863,20.0,2019,7
PER,74.172,73.003,72.175,,23.819384615,26.655076923,33.8196,84.480542857,12.0,HARD,,0.0,12.0,5.0,Racing Point,1.0,0.6666666666666666,11.916666666666666,12.833333333333334,,12.0,2019,7
RAI,73.945,73.542,72.708,,23.708390243,26.295829268,33.759368421,83.87568421,12.0,SOFT,,0.0,15.0,9.0,Alfa Romeo Racing,1.0,0.6666666666666666,12.75,14.666666666666666,,15.0,2019,7
RIC,74.123,73.016,72.045,,24.075675,26.871775,33.523351351,84.084891891,14.0,MEDIUM,,48.0,6.0,8.0,Renault,1.0,0.75,14.083333333333334,13.5,71.071,6.0,2019,7
RUS,75.989,75.036,73.966,,25.139416666,27.540972222,35.281090909,87.620060606,15.0,SOFT,,0.0,16.0,10.0,Williams,1.0,1.0,16.333333333333332,16.5,,16.0,2019,7
SAI,73.973,72.553,72.399,,23.933044444,25.455777777,34.688146341,83.878658536,15.0,HARD,,0.0,11.0,4.0,McLaren,1.0,0.5,12.416666666666666,10.0,73.981,11.0,2019,7
STR,74.812,73.171,,,24.073054054,27.777405405,34.019666666,85.161969696,9.0,HARD,,12.0,9.0,5.0,Racing Point,1.0,0.6666666666666666,11.916666666666666,12.833333333333334,,9.0,2019,7
VER,73.755,73.388,71.842,,23.828045454,25.982863636,32.693722222,82.124277777,9.0,HARD,,60.0,5.0,3.0,Red Bull Racing,0.0,0.16666666666666666,6.25,6.5,,5.0,2019,7
VET,73.905,72.251,70.843,,24.672447368,26.450552631,33.712228571,83.751428571,14.0,SOFT,,108.0,2.0,2.0,Ferrari,0.0,0.08333333333333333,5.333333333333333,6.5,70.24,2.0,2019,7
ALB,94.804,93.023,92.178,,28.161028571,31.731171428,48.1625625,107.152354838,10.0,SOFT,,0.0,15.0,7.0,Toro Rosso,1.0,0.6428571428571429,12.0,10.666666666666666,,15.0,2019,8
BOT,92.807,90.937,90.159,95.9155,27.663294117,31.596382352,49.361838709,107.025533333,14.0,MEDIUM,,126.0,2.0,1.0,Mercedes,0.0,0.0,1.7142857142857142,2.0,88.605,2.0,2019,8
GAS,94.091,92.448,91.599,96.765,27.764793103,31.751344827,45.717884615,104.864807692,10.0,MEDIUM,,7.0,10.0,3.0,Red Bull Racing,1.0,0.21428571428571427,6.285714285714286,5.166666666666667,90.184,10.0,2019,8
GIO,96.102,92.973,92.171,,27.494705882,32.363294117,47.79016129,107.486935483,10.0,SOFT,,0.0,16.0,9.0,Alfa Romeo Racing,1.0,0.7142857142857143,12.928571428571429,15.666666666666666,93.42,16.0,2019,8
GRO,97.62,93.591,92.385,,27.393259259,32.640185185,47.289,106.976875,13.0,SOFT,,0.0,20.0,8.0,Haas F1 Team,1.0,0.7142857142857143,13.142857142857142,12.0,,20.0,2019,8
HAM,92.738,91.361,90.2,95.6765,28.53736,33.04868,49.326863636,108.942047619,10.0,MEDIUM,,175.0,1.0,1.0,Mercedes,0.0,0.0,1.7142857142857142,2.0,88.319,1.0,2019,8
HUL,94.81,93.081,92.023,96.5927,27.26646875,31.29825,45.618275862,103.501068965,16.0,MEDIUM,,28.0,8.0,5.0,Renault,1.0,0.7857142857142857,13.0,10.0,,8.0,2019,8
KUB,97.172,95.195,93.902,,29.3615,33.1953125,49.205655172,107.641666666,14.0,SOFT,,0.0,18.0,10.0,Williams,1.0,1.0,16.428571428571427,17.0,,18.0,2019,8
KVY,95.326,93.254,92.54,96.497615384,27.990864864,32.066702702,47.675242424,107.879424242,15.0,SOFT,,0.0,14.0,7.0,Toro Rosso,1.0,0.6428571428571429,12.0,10.666666666666666,,14.0,2019,8
LAT,97.147,,,,,,,,,,,,,,,,,,,,,2019,8
LEC,93.111,91.586,90.605,,29.676096774,32.041419354,48.317714285,107.004555555,10.0,SOFT,,105.0,3.0,2.0,Ferrari,0.0,0.07142857142857142,4.928571428571429,6.0,88.965,3.0,2019,8
MAG,95.41,92.789,92.4,,28.181366666,33.2221,47.048185185,107.410111111,9.0,MEDIUM,,0.0,17.0,8.0,Haas F1 Team,1.0,0.7142857142857143,13.142857142857142,12.0,,17.0,2019,8
NOR,94.11,91.882,91.654,,28.282806451,32.236225806,50.657481481,107.89536,7.0,HARD,,14.0,9.0,4.0,McLaren,1.0,0.5714285714285714,12.857142857142858,12.666666666666666,89.418,9.0,2019,8
PER,94.809,93.3,92.491,,28.560466666,32.806866666,47.116111111,106.051846153,13.0,HARD,,0.0,12.0,6.0,Racing Point,1.0,0.7142857142857143,11.714285714285714,13.833333333333334,,12.0,2019,8
RAI,95.522,92.677,91.943,,28.372264705,32.921470588,47.53816129,107.977580645,10.0,MEDIUM,,42.0,7.0,9.0,Alfa Romeo Racing,1.0,0.7142857142857143,12.928571428571429,15.666666666666666,,7.0,2019,8
RIC,94.54,93.02,91.802,96.304,28.578735294,31.952088235,47.0273,106.8795,11.0,HARD,,0.0,11.0,5.0,Renault,1.0,0.7857142857142857,13.0,10.0,89.918,11.0,2019,8
SAI,94.261,92.432,91.887,,27.748962962,31.784259259,48.101416666,107.266333333,9.0,SOFT,,56.0,6.0,4.0,McLaren,0.0,0.5714285714285714,12.857142857142858,12.666666666666666,89.522,6.0,2019,8
STR,95.063,93.884,92.678,,28.7878125,33.17234375,49.072034482,108.640071428,10.0,HARD,,0.0,13.0,6.0,Racing Point,1.0,0.7142857142857143,11.714285714285714,13.833333333333334,,13.0,2019,8
VER,93.618,92.049,91.538,96.0914,26.683464285,31.159785714,46.923961538,104.855038461,8.0,MEDIUM,,84.0,4.0,3.0,Red Bull Racing,0.0,0.21428571428571427,6.285714285714286,5.166666666666667,89.409,4.0,2019,8
VET,93.79,91.665,90.633,96.541166666,29.43478125,32.2451875,49.777586206,106.952444444,11.0,MEDIUM,,77.0,5.0,2.0,Ferrari,0.0,0.07142857142857142,4.928571428571429,6.0,89.799,5.0,2019,8
ALB,66.285,66.064,65.481,69.239076923,18.745292682,32.91440909,23.378772727,73.807589743,19.0,SOFT,,0.0,15.0,8.0,Toro Rosso,1.0,0.6875,12.3125,12.166666666666666,,15.0,2019,9
BOT,64.999,65.417,64.221,,18.2989,35.685363636,26.832181818,80.717,10.0,MEDIUM,,120.0,3.0,1.0,Mercedes,0.0,0.0,1.6875,2.0,63.537,3.0,2019,9
GAS,65.378,65.487,65.152,,18.6583,36.077,25.054030303,79.879466666,15.0,SOFT,,48.0,7.0,3.0,Red Bull Racing,1.0,0.25,6.375,6.0,64.199,7.0,2019,9
GIO,66.708,66.119,65.336,,20.65803125,34.057583333,24.409771428,79.096387096,11.0,SOFT,,8.0,10.0,6.0,Alfa Romeo Racing,1.0,0.75,12.75,14.5,64.179,10.0,2019,9
GRO,66.135,65.701,65.62,,20.477787878,34.3275,24.501222222,78.94016129,20.0,SOFT,,0.0,16.0,9.0,Haas F1 Team,1.0,0.75,13.8125,15.333333333333334,,16.0,2019,9
HAM,64.838,65.529,64.13,69.094944444,20.043025641,32.710465116,23.236690476,75.884421052,14.0,HARD,,80.0,5.0,1.0,Mercedes,0.0,0.0,1.6875,2.0,63.262,5.0,2019,9
HUL,66.383,66.249,65.514,,19.700869565,33.869518518,24.768888888,77.967130434,10.0,HARD,,0.0,13.0,5.0,Renault,1.0,0.8125,12.5625,9.0,,13.0,2019,9
KUB,67.665,68.508,67.484,,19.556735294,33.547842105,23.97525,76.2054375,22.0,MEDIUM,,0.0,20.0,10.0,Williams,1.0,1.0,16.6875,17.333333333333332,,20.0,2019,9
KVY,66.272,66.148,65.391,,19.372764705,33.492432432,24.463243243,76.582575757,16.0,MEDIUM,,0.0,17.0,8.0,Toro Rosso,1.0,0.6875,12.3125,12.166666666666666,,17.0,2019,9
LEC,65.141,65.086,63.987,69.226625,20.68832258,32.941555555,23.688142857,76.451548387,12.0,SOFT,,144.0,2.0,2.0,Ferrari,0.0,0.0625,4.8125,5.833333333333333,63.003,2.0,2019,9
MAG,65.876,65.96,66.017,,20.271459459,35.388666666,24.275717948,79.780371428,15.0,HARD,,0.0,19.0,9.0,Haas F1 Team,1.0,0.75,13.8125,15.333333333333334,64.072,19.0,2019,9
NOR,66.125,65.952,64.986,,19.443355555,32.802458333,23.263574468,75.433113636,16.0,MEDIUM,,64.0,6.0,4.0,McLaren,1.0,0.5625,12.1875,10.5,64.099,6.0,2019,9
PER,66.457,65.964,65.523,,19.6653,33.359790697,23.241930232,75.968675,16.0,MEDIUM,,0.0,11.0,7.0,Racing Point,1.0,0.75,11.8125,12.333333333333334,,11.0,2019,9
RAI,66.729,65.728,65.514,,19.900151515,32.889388888,24.725888888,77.16359375,11.0,SOFT,,16.0,9.0,6.0,Alfa Romeo Racing,1.0,0.75,12.75,14.5,64.166,9.0,2019,9
