Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
LAW,Racing Bulls,7.0,5.5,2.5,83.433,83.66,83.203,34.085571428,32.035027027,31.764054054,94.185575757,82.821,14.0,49.0,66.0,4,12,12,0.42500000000001137,1.100999999999999,0.9840000000000089,3,2,2,97.88465250899999,0.9715319740000012,1,0.0,924.0,3234.0,168.0
LEC,Ferrari,6.333333333333333,9.166666666666666,22.0,83.008,82.679,82.708,38.889538461,33.601793103,33.981551724,96.9735,82.004,4.0,155.0,338.0,1,2,6,0.0,0.12000000000000455,0.4890000000000043,19,6,14,106.472883288,9.559762753000015,3,2.787924243000006,1352.0,52390.0,24.0
LIN,Racing Bulls,7.333333333333333,4.166666666666666,2.5,83.802,83.349,82.724,32.08773913,33.962923076,32.1815,98.624086956,82.286,10.0,23.0,66.0,7,7,7,0.7940000000000111,0.7900000000000063,0.5050000000000097,1,10,3,98.232162206,1.319041671000008,4,4.438511199000004,660.0,1518.0,70.0
NOR,McLaren,9.0,17.0,29.0,83.719,82.943,82.625,36.600636363,33.9332,32.3926,100.414523809,82.256,9.0,159.0,263.0,6,4,5,0.7109999999999985,0.38400000000000034,0.4060000000000059,11,8,5,102.92643636300001,6.013315828000017,9,6.228948052000007,2367.0,41817.0,45.0
OCO,Haas F1 Team,11.666666666666666,5.833333333333333,0.0,85.852,84.407,84.02,42.102444444,34.403033333,34.655133333,102.582913043,83.454,16.0,3.0,21.0,20,18,17,2.8440000000000083,1.847999999999999,1.801000000000002,22,13,18,111.16061111000002,14.247490575000029,13,8.39733728600001,336.0,63.0,272.0
PER,Cadillac,12.0,6.0,0.0,84.106,85.082,85.031,37.68296,34.282785714,32.972071428,99.407782608,84.595,20.0,0.0,0.0,12,20,21,1.097999999999999,2.522999999999996,2.812000000000012,14,12,7,104.937817142,8.02469660700001,6,5.22220685100001,0.0,0.0,420.0
PIA,McLaren,11.333333333333334,5.666666666666667,29.0,84.184,83.028,82.773,38.243,34.651307692,34.982,105.508818181,81.966,3.0,104.0,263.0,14,6,8,1.176000000000002,0.4690000000000083,0.554000000000002,16,15,20,107.87630769200001,10.963187157000021,20,11.323242424,789.0,27352.0,24.0
RUS,Mercedes,8.333333333333334,7.166666666666667,27.0,83.312,82.559,82.219,38.877555555,33.955419354,33.149225806,103.931,81.846,2.0,183.0,425.0,3,1,1,0.30400000000000205,0.0,0.0,18,9,9,105.982200715,9.069080180000014,17,9.745424243000002,850.0,77775.0,2.0
SAI,Williams,11.333333333333334,5.666666666666667,0.0,84.827,83.9,83.875,35.221962962,34.4296,33.2244,103.164481481,83.453,15.0,6.0,11.0,18,17,16,1.8190000000000026,1.3410000000000082,1.656000000000006,6,14,11,102.875962962,5.962842427000012,14,8.978905724,165.0,66.0,240.0
STR,Aston Martin,11.0,5.5,1.0,86.066,85.253,85.555,37.496708333,36.456777777,35.413037037,105.288954545,85.222,22.0,0.0,3.0,22,22,22,3.058000000000007,2.6940000000000026,3.3360000000000127,13,22,21,109.36652314700001,12.45340261200002,19,11.103378788,66.0,0.0,484.0
TSU,,11.0,5.5,,84.571,83.455,83.817,37.457730769,35.112827586,34.448689655,105.5596,83.755,17.0,0.0,,15,10,15,1.5630000000000024,0.8960000000000008,1.597999999999999,12,17,17,107.01924801000001,10.106127475000022,21,11.374024243000008,,,255.0
VER,Red Bull Racing,8.0,13.0,16.0,84.106,83.377,82.569,38.100444444,33.315733333,32.9794,100.32208,82.07,6.0,112.0,186.0,13,9,3,1.097999999999999,0.8179999999999978,0.3500000000000085,15,4,8,104.395577777,7.4824572420000095,8,6.1365042430000045,1116.0,20832.0,18.0
