Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart,Predicted_Result,Predicted_Pos
BOR,Audi,7.333333333333333,3.6666666666666665,0.0,91.035,89.679,93.506,33.77325,43.381416666,29.401,104.573125,89.461,11.0,2.0,2.0,12,12,11,1.7749999999999917,1.3029999999999973,1.899000000000001,4,10,10,106.555666666,1.711507576999992,5,1.9890000000000043,22.0,4.0,121.0,11.398426324384605,11
HUL,Audi,10.666666666666666,5.333333333333333,0.0,90.743,89.707,93.497,39.888777777,43.23325,30.387916666,102.584125,90.076,13.0,0.0,2.0,9,13,10,1.48299999999999,1.3309999999999889,1.8900000000000008,21,6,14,113.509944443,8.665785353999993,1,0.0,26.0,0.0,130.0,11.68995679113535,12
GAS,Alpine,6.666666666666667,6.333333333333334,3.5,92.195,89.482,93.88,33.794857142,44.427666666,29.930333333,107.683142857,90.063,12.0,41.0,57.0,19,11,15,2.934999999999988,1.1059999999999943,2.272999999999996,5,19,13,108.152857141,3.308698051999997,18,5.099017857000007,684.0,2337.0,180.0,13.757146350394668,13
BEA,Haas F1 Team,10.333333333333334,5.166666666666667,0.0,91.373,91.083,93.574,35.40825,43.342,30.474833333,106.402,90.501,14.0,18.0,21.0,14,17,14,2.1129999999999995,2.7069999999999936,1.9669999999999987,14,9,17,109.225083333,4.380924243999985,15,3.817875000000001,294.0,378.0,196.0,13.768048490049281,14
SAI,Williams,10.666666666666666,5.333333333333333,0.0,91.684,90.197,94.186,33.838555555,43.458583333,29.16675,105.490333333,90.623,15.0,6.0,11.0,15,15,17,2.4239999999999924,1.820999999999998,2.579000000000008,6,11,9,106.463888888,1.6197297990000123,11,2.906208332999995,165.0,66.0,255.0,15.17484932080069,15
ALB,Williams,11.666666666666666,5.833333333333333,0.0,91.697,90.65,93.989,34.4394,44.048615384,28.733538461,106.1848,91.341,16.0,5.0,11.0,17,16,16,2.4369999999999976,2.274000000000001,2.382000000000005,9,16,5,107.221553845,2.377394755999987,13,3.6006749999999954,176.0,55.0,256.0,15.288674444535987,16
COL,Alpine,8.333333333333334,4.666666666666667,3.5,90.966,89.983,93.52,37.971571428,44.981666666,30.629666666,113.487428571,91.321,19.0,16.0,57.0,11,14,12,1.7059999999999889,1.606999999999999,1.9129999999999967,19,21,19,113.58290476,8.73874567099999,22,10.903303570999997,1083.0,912.0,228.0,16.61049940251777,17
OCO,Haas F1 Team,9.666666666666666,4.833333333333333,0.0,91.684,91.714,94.399,34.36675,44.3095,30.520333333,106.81275,90.68,17.0,3.0,21.0,16,18,18,2.4239999999999924,3.337999999999994,2.7920000000000016,8,18,18,109.196583333,4.352424244000005,17,4.228624999999994,357.0,63.0,306.0,17.01944434953613,18
BOT,Cadillac,14.333333333333334,7.166666666666667,0.0,92.15,92.02,95.371,33.31275,43.745666666,30.423166666,105.2955,91.227,18.0,0.0,0.0,18,20,21,2.890000000000001,3.6439999999999912,3.763999999999996,2,15,15,107.481583332,2.637424242999998,9,2.711375000000004,0.0,0.0,378.0,18.254924006637804,19
PER,Cadillac,11.666666666666666,5.833333333333333,0.0,92.241,91.776,94.528,32.7135,43.2645,29.507,103.797,91.451,20.0,0.0,0.0,20,19,19,2.9809999999999945,3.3999999999999915,2.9210000000000065,1,7,11,105.485,0.6408409110000122,4,1.2128749999999968,0.0,0.0,380.0,18.29365903525698,20
STR,Aston Martin,13.666666666666666,6.833333333333333,0.0,93.13,92.988,95.028,35.6265,45.0022,31.5238,112.035,92.863,21.0,0.0,1.0,22,22,20,3.8699999999999903,4.611999999999995,3.4210000000000065,15,22,22,112.1525,7.308340911000002,21,9.450874999999996,21.0,0.0,420.0,19.483834354013723,21
ALO,Aston Martin,12.333333333333334,6.166666666666667,0.0,92.957,92.91,96.301,36.50875,43.1494,30.4378,110.0655,93.025,22.0,1.0,1.0,21,21,22,3.696999999999989,4.533999999999992,4.694000000000003,16,5,16,110.09595,5.2517909110000005,20,7.481375,22.0,1.0,484.0,21.138786832440687,22
