Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
HUL,Audi,11.666666666666666,5.833333333333333,4.0,80.623,80.125,79.16,33.77116,34.589689655,27.676862068,96.17504,78.686,10.0,0.0,10.0,7,9,10,1.5480000000000018,1.3960000000000008,1.2210000000000036,4,14,9,96.037711723,2.4427505499999995,11,3.542934736999996,100.0,0.0,100.0
LAW,Racing Bulls,6.0,7.0,8.0,80.866,80.041,79.088,36.28488,33.599344827,26.556034482,96.5758,78.765,11.0,39.0,61.0,10,7,9,1.7909999999999968,1.3119999999999976,1.149000000000001,18,5,2,96.440259309,2.8452981359999967,12,3.9436947370000013,671.0,2379.0,99.0
LEC,Ferrari,7.0,16.0,35.0,79.075,78.877,78.291,31.834,34.146862068,29.351103448,93.798375,77.445,3.0,126.0,285.0,1,2,4,0.0,0.14799999999999613,0.35200000000000387,1,7,17,95.331965516,1.7370043429999953,3,1.1662697369999933,855.0,35910.0,12.0
LIN,Racing Bulls,6.0,6.0,8.0,80.76,80.253,79.895,34.09584,34.174413793,28.658142857,93.887304347,78.281,9.0,22.0,61.0,8,10,14,1.6850000000000023,1.524000000000001,1.956000000000003,6,8,15,96.92839665,3.3334354769999948,5,1.2551990839999974,549.0,1342.0,126.0
NOR,McLaren,5.666666666666667,8.833333333333334,14.0,81.024,79.228,77.939,33.80037037,32.935866666,26.858724137,94.211807692,77.207,1.0,103.0,195.0,15,3,1,1.948999999999998,0.4989999999999952,0.0,5,2,3,93.594961173,0.0,6,1.579702428999994,195.0,20085.0,1.0
OCO,Haas F1 Team,10.0,5.0,0.0,81.051,80.557,80.295,36.522826086,34.486884615,27.291,98.350826086,79.734,15.0,3.0,21.0,16,13,16,1.975999999999999,1.828000000000003,2.3560000000000088,20,13,5,98.300710701,4.705749527999998,15,5.718720822999998,315.0,63.0,240.0
PER,Cadillac,11.666666666666666,5.833333333333333,0.0,82.089,81.792,79.338,34.189083333,35.82925,28.357888888,95.351318181,81.322,22.0,0.0,0.0,20,21,12,3.013999999999996,3.0630000000000024,1.399000000000001,7,19,11,98.376222221,4.781261048000005,8,2.7192129179999966,0.0,0.0,264.0
PIA,McLaren,8.666666666666666,4.333333333333333,14.0,80.866,80.101,78.438,34.805916666,33.520666666,29.601407407,95.75740909,77.684,5.0,92.0,195.0,14,8,5,1.7909999999999968,1.3719999999999999,0.49900000000000944,12,4,18,97.927990739,4.333029565999993,10,3.125303826999996,975.0,17940.0,25.0
RUS,Mercedes,8.0,13.0,21.5,80.066,79.662,78.541,36.181115384,33.166,26.52975862,94.97948,77.76,7.0,154.0,358.0,5,5,6,0.9909999999999997,0.9330000000000069,0.6020000000000039,17,3,1,95.876874004,2.2819128309999996,7,2.3473747369999955,2506.0,55132.0,42.0
SAI,Williams,11.0,5.5,0.0,83.734,81.426,80.66,34.617642857,34.269096774,27.1521,93.233961538,80.621,18.0,6.0,11.0,22,19,20,4.658999999999992,2.6970000000000027,2.7210000000000036,9,9,4,96.038839631,2.4438784580000004,2,0.6018562750000029,198.0,66.0,360.0
STR,Aston Martin,13.0,6.5,0.0,83.471,80.474,80.933,34.805916666,34.369185185,28.357888888,97.0139847632857,80.659,20.0,0.0,1.0,21,12,21,4.396000000000001,1.7450000000000045,2.994000000000014,11,12,12,97.532990739,3.9380295659999973,13,4.381879500285706,20.0,0.0,420.0
VER,Red Bull Racing,12.666666666666666,6.333333333333333,16.5,79.559,79.421,78.656,32.278666666,32.698037037,28.940814814,93.863375,77.725,6.0,91.0,151.0,2,4,7,0.48399999999999466,0.6920000000000073,0.717000000000013,2,1,16,93.91751851699999,0.32255734399998914,4,1.2312697370000052,906.0,13741.0,42.0
